          THE POSTMASTER,HEAD POSTOFFICE,CHENNAI
           A.V.ENGINEERING,CHENNAI.
           THE CHIEF POST MASTER,ANNA ROAD,POSTOFFICE,HPO,CHENNAI.
           VIJAAY OFFSET PRINTER,MADURAI.
            MR.S.C.SEKAR,CHENNAI.
            K.S.R.ENTERPRISES,CHENNAI.
            ACE FINE PACK(P)LTD,CHENNAI.
            CHENNAI MICRO PRINT(P) LTD,CHENNAI
            MADRAS AIRCONS,CHENNAI.
            M/S.PADMA SYSTEM,CHENNAI
           M/S.SONTHAM PRINTERS &amp, PUBLISHERS,CHENNAI.
           TAMILNADU NEWSPRINT &amp, PAPER LTD.
           M/S.SOMESH ENTERPRISES,CHENNIAI.
           M/S.CREATIVE OFFSET,CHENNAI
           SAKTHI ENTERPRISES,CHENNAI.
           THE PREMIER SERVICES STATION,CHENNAI.
           M/S.JANAKI SCIENTIFIC COMPANY,CHENNAI.
           SRI SAKTHI PROMOTIONAL LITHO PROCESS,COIMBATORE.
           M/S.AMMAN ELECTRICALS,CHENNAI.
           M/S.KHIVRAJ MOTORS(P)LTD,CHENNAI.
           SRI BHAGAVATHI OFFSET WORKERS,CHENNAI.
           M/S.SHRI OMKAR SYSTEMS,CHENNAI.
           M/S.MEENAMEX FIRE AND SAFETY EQUIPMENT,CHENNAI.
           BSNL,CHENNAITELEPHONE,CHENNAI.